area,latitude,longitude
MPSJ,3.0516,101.5823
MBPJ,3.097975,101.645397
Petaling,3.1846,101.536
Hulu Langat,2.9936,101.7892
Gombak,3.2535,101.6533
MPAJ,3.1275,101.7543
MBSA,3.0735,101.5202
MPS,3.2954508,101.5539362
Cheras,3.1068,101.7259
Setapak,3.2791,101.741
Pusat Bandar,3.182944,101.6976809
Klang Lama,3.1083807,101.6680782
MPJBT,1.5372,103.6624
MBJB,1.4927,103.7414
MPPG,1.473539,103.90796
Miri,4.3995,113.9914
Marudi,3.7035,114.5243
Bintulu,3.1713,113.0419
Seremban,2.7259,101.9378
Kuantan,3.7634,103.2202
Timur Laut,5.4142,100.3285
KKM,5.263369,103.163513
Sepang,2.6914,101.7505
Batang Padang,4.1975,101.2593
MPKJ,3.121012,101.7632779
Damansara,3.0941,101.5475
Meradong,2.1026,111.7138
Hulu Selangor,3.5601,101.6583
Kepong,3.214,101.6356
MPK,3.044877,101.444687
Bau,1.4172,110.1546
K.Langat,2.8038,101.4951
Rompin,2.7945,103.4862
Kluang (PBT),2.011259,103.2907792
Sandakan,5.8394,118.1172
Kota Bharu,6.1168,102.2777
Klang,3.0449,101.4456
PBT,2.1397369,103.231499
Daro,2.528,111.4171
Kinta,4.622826,101.0677252
Pasir Mas,6.0424,102.1428
Sibu,2.2873,111.8305
Jasin,2.3084,102.4304
MBJBT,1.4927,103.7414
MB lpoh,4.614939,101.053805
Melaka Tengah,2.2711,102.2887
K.Terengganu,5.3296,103.137
Zon Setapak,3.1969111,101.7110105
Kangar,6.4406,100.1984
Kluang,2.0301,103.3185
MPAJ (GB),3.17557,101.7393998
MPS (GB),3.323489,101.5739269
MPK (KG),3.0738379,101.5183469
MPAJ (HL),3.14556,101.7692888
MPKj (HL),3.121012,101.7632779
MBSA (PT),3.08205,101.5388921
MPSJ (PT),3.0230556,101.7158333
Barat Daya,5.3519,100.2359
Maran,3.5834,102.7791
Perak Tengah,4.3630,100.9554
Johor Bharu,1.4927,103.7414
Klang (MBSA),3.031813,101.5124378
Bandar Tun Razak,3.092,101.7211
Sabak Bernam,3.6758,100.99
Parlimen Batu,3.182944,101.6976809
Betong,1.629771,111.199997
Setiawangsa,3.183,101.7462
Sarikei,2.1317,111.5237
K.Kangsar,4.7736,100.942
Bukit Raja,3.0874,101.4333
Batu Pahat,1.8469,102.9352
Kulai,1.663,103.5999
Beluran,5.627,117.1304
Titiwangsa,3.1774,101.7077
Lembah Pantai,3.068727,101.693129
W/P Putrajaya,2.9264,101.6964
Seberang Perai Tengah,5.362265,100.4421251
Jerantut,3.9374,102.362
Kuala Selangor,3.3491,101.2467
Tumpat,6.1991,102.1694
Lahad Datu,5.0242,118.3307
Tanah Merah,5.8089,102.1471
Alor Gajah,2.3822,102.2116
Kerian,5.0153,100.5746
Kota Tinggi,1.7294,103.8992
Lundu,1.6714,109.852
Kota Kinabalu,5.9804,116.0735
Kuala Langat,2.8038,101.4951
Seberang Perai Selatan,5.1958,100.4921